DIAG SET 1: ANN MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             0.176               0.780            -0.604         4.429
RESSURF            0.215               0.781            -0.566         3.121
SOLIN            340.267             340.267             0.000         0.000
AAM            1.434e+26           1.452e+26        -1.880e+24      -999.000
CHI_200            0.000              -0.004             0.004         0.357
CLDHGH            29.064              29.014             0.050         1.417
CLDLOW            32.972              33.027            -0.055         1.276
CLDMED            16.058              15.912             0.146         1.103
CLDTOT            51.043              51.033             0.010         1.332
EKE_850           30.711              30.631             0.080         1.562
EP            -3.169e-04           5.585e-05        -3.727e-04         0.295
FLNS              59.359              58.961             0.398         1.339
FLNSC             82.217              81.646             0.570         1.240
FLNT             233.739             234.472            -0.733         1.897
FLNTC            262.949             263.658            -0.710         1.041
FSDS             183.584             182.961             0.623         3.082
FSDSC            246.421             245.852             0.568         0.932
FSNS             158.848             159.961            -1.113         4.823
FSNSC            215.054             216.680            -1.626         6.586
FSNSC_ICE         54.643              54.931            -0.288         4.018
FSNSC_LAND       179.293             179.128             0.165         1.090
FSNT             233.914             235.252            -1.337         4.592
FSNTC            286.276             288.142            -1.866         6.317
ICEAREA           23.472              22.772             0.701         0.029
LHFLX             82.128              83.086            -0.958         4.072
LWCF              29.210              29.187             0.023         1.442
PRECT              2.815               2.848            -0.033         0.295
PRECT_LAND         2.361               2.342             0.019         0.229
PRECT_OCEAN        3.126               3.181            -0.054         0.330
PREH2O            26.179              26.850            -0.671         1.052
PREH2O_OCEAN      30.452              31.294            -0.842         1.233
PSI_200           -0.035              -0.034            -0.000         0.121
PS               985.453             985.519            -0.066         0.531
PSL             1011.158            1011.209            -0.050         0.547
QFLX               2.815               2.848            -0.033         0.127
SHFLX             17.146              17.133             0.013         1.395
SNOWHLND          11.285              11.277             0.008         0.975
SST               20.629              20.999            -0.370         0.526
STRESS_MAG         0.068               0.067             0.001         0.007
SWCF             -52.362             -52.891             0.529         3.167
T_850            282.004             282.352            -0.348         0.464
TGCLDLWP         135.237             136.019            -0.782         8.005
TGCLDIWP          17.277              17.111             0.166         1.006
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.890             288.245            -0.355         0.522
TS               288.578             288.940            -0.362         0.551
TS_LAND          282.766             283.095            -0.329         0.540
U_200             15.653              15.757            -0.105         1.020
VT_850             0.158               0.120             0.039         0.640
Z3_500            56.778              56.861            -0.083         0.111
