DIAG SET 1: DJF MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             7.324               8.334            -1.011         6.722
RESSURF            6.492               7.422            -0.930         7.770
SOLIN            350.496             350.496             0.000         0.000
AAM            1.491e+26           1.541e+26        -4.998e+24      -999.000
CHI_200           -0.036              -0.046             0.010         0.578
CLDHGH            28.241              28.384            -0.143         2.609
CLDLOW            32.384              32.435            -0.051         2.091
CLDMED            16.242              16.130             0.111         1.915
CLDTOT            50.081              50.212            -0.131         2.435
EKE_850           27.946              27.837             0.109         2.546
EP             6.882e-03           5.116e-03         1.766e-03         0.550
FLNS              58.955              58.388             0.567         2.205
FLNSC             81.769              81.055             0.713         1.852
FLNT             230.828             231.539            -0.711         3.145
FLNTC            259.469             260.319            -0.850         1.540
FSDS             191.279             190.159             1.119         5.546
FSDSC            256.836             256.130             0.706         1.380
FSNS             163.223             164.660            -1.437         7.466
FSNSC            221.786             224.270            -2.484         9.612
FSNSC_ICE         28.703              27.222             1.481         4.207
FSNSC_LAND       144.862             144.975            -0.114         2.088
FSNT             238.152             239.873            -1.721         7.088
FSNTC            292.527             295.288            -2.761         9.261
ICEAREA           22.021              21.347             0.674         0.041
LHFLX             82.924              83.927            -1.003         6.396
LWCF              28.640              28.780            -0.140         2.482
PRECT              2.832               2.870            -0.038         0.515
PRECT_LAND         2.325               2.307             0.018         0.370
PRECT_OCEAN        3.175               3.237            -0.062         0.585
PREH2O            24.682              25.536            -0.854         1.476
PREH2O_OCEAN      29.812              30.856            -1.044         1.750
PSI_200           -0.004              -0.001            -0.003         0.231
PS               985.306             985.390            -0.084         0.926
PSL             1011.319            1011.395            -0.077         0.940
QFLX               2.839               2.875            -0.036         0.184
SHFLX             14.852              14.923            -0.071         2.412
SNOWHLND          12.070              12.038             0.032         1.204
SST               20.614              21.060            -0.446         0.639
STRESS_MAG         0.073               0.070             0.002         0.011
SWCF             -54.375             -55.415             1.040         5.330
T_850            280.327             280.752            -0.425         0.676
TGCLDLWP         135.638             136.481            -0.843        14.735
TGCLDIWP          17.699              17.506             0.193         1.811
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           285.924             286.365            -0.441         0.755
TS               286.560             287.018            -0.458         0.782
TS_LAND          276.013             276.465            -0.452         0.878
U_200             16.330              16.549            -0.219         1.892
VT_850            -0.640              -0.679             0.038         1.329
Z3_500            56.517              56.619            -0.102         0.162
