DIAG SET 1: JJA MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            -9.834              -9.575            -0.260         3.697
RESSURF          -10.573             -10.528            -0.045         5.686
SOLIN            330.385             330.385             0.000         0.000
AAM            1.210e+26           1.229e+26        -1.848e+24      -999.000
CHI_200            0.029               0.027             0.002         0.565
CLDHGH            30.448              30.395             0.053         2.060
CLDLOW            35.592              35.625            -0.033         1.917
CLDMED            16.065              15.887             0.178         1.805
CLDTOT            54.115              54.030             0.086         2.103
EKE_850           27.650              27.669            -0.019         2.389
EP             1.057e-02           1.174e-02        -1.168e-03         0.498
FLNS              58.030              57.634             0.396         2.076
FLNSC             81.508              80.913             0.594         1.546
FLNT             236.995             237.626            -0.631         2.745
FLNTC            267.064             267.700            -0.637         1.182
FSDS             171.084             170.812             0.272         4.785
FSDSC            235.306             234.826             0.480         1.050
FSNS             150.879             151.529            -0.650         4.866
FSNSC            208.482             209.236            -0.754         4.105
FSNSC_ICE         46.329              45.625             0.704         7.124
FSNSC_LAND       214.986             214.636             0.349         1.437
FSNT             227.161             228.051            -0.890         4.523
FSNTC            281.066             282.098            -1.032         3.925
ICEAREA           24.266              23.672             0.594         0.042
LHFLX             83.968              84.984            -1.016         6.086
LWCF              30.069              30.075            -0.006         2.159
PRECT              2.871               2.905            -0.034         0.483
PRECT_LAND         2.396               2.357             0.039         0.400
PRECT_OCEAN        3.182               3.246            -0.064         0.532
PREH2O            28.255              28.893            -0.637         1.119
PREH2O_OCEAN      31.191              31.981            -0.790         1.253
PSI_200           -0.075              -0.074            -0.000         0.177
PS               985.657             985.719            -0.063         0.766
PSL             1011.036            1011.080            -0.044         0.792
QFLX               2.882               2.917            -0.035         0.183
SHFLX             19.454              19.439             0.015         2.041
SNOWHLND          10.248              10.282            -0.033         0.947
SST               20.345              20.686            -0.341         0.482
STRESS_MAG         0.078               0.078             0.000         0.010
SWCF             -53.905             -54.047             0.142         4.130
T_850            283.917             284.268            -0.351         0.503
TGCLDLWP         141.561             142.066            -0.505        13.608
TGCLDIWP          16.320              16.228             0.092         1.544
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           289.894             290.225            -0.331         0.507
TS               290.585             290.917            -0.332         0.526
TS_LAND          289.477             289.803            -0.326         0.573
U_200             13.476              13.666            -0.190         1.339
VT_850             0.984               0.945             0.039         1.039
Z3_500            57.128              57.208            -0.080         0.123
