DIAG SET 1: SON MEANS GLOBAL
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM             1.663               2.732            -1.069         5.733
RESSURF            6.172               7.069            -0.898         6.043
SOLIN            342.177             342.177             0.000         0.000
AAM            1.445e+26           1.489e+26        -4.400e+24      -999.000
CHI_200            0.009               0.005             0.003         0.399
CLDHGH            28.496              28.501            -0.004         2.419
CLDLOW            32.686              32.598             0.088         1.925
CLDMED            15.880              15.768             0.112         1.789
CLDTOT            50.369              50.254             0.114         2.268
EKE_850           27.944              27.501             0.443         2.473
EP            -3.877e-02          -3.522e-02        -3.559e-03         0.508
FLNS              59.670              59.415             0.255         2.027
FLNSC             82.600              82.094             0.506         1.549
FLNT             233.983             234.706            -0.723         3.041
FLNTC            262.542             263.264            -0.723         1.332
FSDS             186.687             186.374             0.314         4.910
FSDSC            249.395             248.968             0.427         1.120
FSNS             161.448             163.189            -1.741         6.671
FSNSC            217.491             219.652            -2.160         8.150
FSNSC_ICE         44.886              46.199            -1.313         4.189
FSNSC_LAND       166.064             166.030             0.034         1.065
FSNT             235.646             237.438            -1.792         6.182
FSNTC            287.710             289.972            -2.261         7.705
ICEAREA           24.635              23.758             0.877         0.048
LHFLX             79.373              80.572            -1.200         5.585
LWCF              28.558              28.558             0.000         2.409
PRECT              2.763               2.800            -0.037         0.481
PRECT_LAND         2.426               2.437            -0.011         0.391
PRECT_OCEAN        3.010               3.054            -0.043         0.531
PREH2O            25.873              26.509            -0.636         1.085
PREH2O_OCEAN      29.920              30.653            -0.733         1.206
PSI_200           -0.043              -0.044             0.000         0.205
PS               985.423             985.485            -0.062         0.873
PSL             1011.122            1011.162            -0.041         0.914
QFLX               2.724               2.765            -0.041         0.160
SHFLX             16.234              16.132             0.101         2.015
SNOWHLND          10.386              10.393            -0.007         0.946
SST               20.223              20.585            -0.362         0.512
STRESS_MAG         0.070               0.070             0.000         0.012
SWCF             -52.064             -52.534             0.470         4.707
T_850            281.787             282.111            -0.324         0.510
TGCLDLWP         134.617             135.583            -0.966        13.502
TGCLDIWP          17.294              17.206             0.088         1.707
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           287.801             288.166            -0.365         0.584
TS               288.495             288.866            -0.371         0.615
TS_LAND          282.918             283.270            -0.352         0.671
U_200             15.599              15.918            -0.319         1.600
VT_850             0.057               0.042             0.015         0.990
Z3_500            56.732              56.809            -0.077         0.134
