DIAG SET 1: ANN MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -25.154             -25.489             0.335         1.518
RESSURF           -9.658              -9.578            -0.080         2.408
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.243              -0.042            -0.202         0.344
CLDHGH            25.067              25.009             0.058         1.213
CLDLOW            30.321              30.523            -0.202         1.187
CLDMED            15.334              15.184             0.150         0.807
CLDTOT            46.247              46.298            -0.051         1.190
EKE_850           33.506              33.794            -0.288         1.588
EP            -2.368e-02          -1.990e-02        -3.785e-03         0.152
FLNS              64.990              65.063            -0.073         1.127
FLNSC             88.422              88.522            -0.100         0.827
FLNT             230.667             231.235            -0.569         1.473
FLNTC            254.589             255.134            -0.544         1.106
FSDS             165.958             165.718             0.240         2.188
FSDSC            219.071             218.796             0.275         0.542
FSNS             136.983             137.047            -0.064         1.993
FSNSC            182.808             182.951            -0.143         1.625
FSNSC_ICE         47.392              49.569            -2.177         4.123
FSNSC_LAND       164.936             164.989            -0.053         1.322
FSNT             205.513             205.746            -0.234         1.819
FSNTC            247.759             248.069            -0.310         1.571
ICEAREA           11.691              11.331             0.361         0.034
LHFLX             59.899              59.862             0.037         1.744
LWCF              23.923              23.898             0.025         1.038
PRECT              2.067               2.062             0.005         0.151
PRECT_LAND         1.679               1.654             0.025         0.138
PRECT_OCEAN        2.663               2.674            -0.011         0.172
PREH2O            18.557              18.693            -0.136         0.375
PREH2O_OCEAN      24.766              24.903            -0.137         0.465
PSI_200           -6.741              -6.829             0.088         0.139
PS               976.731             976.952            -0.221         0.516
PSL             1015.667            1015.882            -0.215         0.515
QFLX               2.043               2.042             0.001         0.053
SHFLX             21.752              21.701             0.052         1.333
SNOWHLND           4.374               4.351             0.023         1.265
SST               18.424              18.488            -0.064         0.344
STRESS_MAG         0.049               0.049            -0.000         0.004
SWCF             -42.246             -42.323             0.076         1.805
T_850            278.805             279.003            -0.198         0.422
TGCLDLWP         126.019             126.851            -0.832         6.712
TGCLDIWP          19.450              19.325             0.125         0.899
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           283.158             283.396            -0.238         0.566
TS               283.703             283.936            -0.232         0.579
TS_LAND          280.760             281.061            -0.300         0.603
U_200             18.461              18.713            -0.252         0.995
VT_850             0.281               0.282            -0.002         0.741
Z3_500            56.486              56.545            -0.059         0.098
