DIAG SET 1: DJF MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -103.927            -104.272             0.345         2.184
RESSURF          -76.212             -75.896            -0.316         8.465
SOLIN            165.185             165.185             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            3.321               3.539            -0.218         0.572
CLDHGH            25.332              25.537            -0.205         2.798
CLDLOW            27.188              27.322            -0.134         1.820
CLDMED            17.227              17.118             0.109         1.749
CLDTOT            44.090              44.319            -0.229         2.373
EKE_850           43.576              43.187             0.389         3.383
EP             1.557e-01           1.433e-01         1.240e-02         0.354
FLNS              65.216              65.392            -0.175         2.064
FLNSC             88.338              88.565            -0.227         1.662
FLNT             212.837             213.335            -0.497         2.784
FLNTC            235.573             236.293            -0.720         1.851
FSDS              91.150              90.951             0.199         2.402
FSDSC            116.658             116.529             0.129         0.392
FSNS              74.047              74.123            -0.076         2.551
FSNSC             95.652              95.852            -0.200         1.775
FSNSC_ICE          1.853               1.852             0.001         0.263
FSNSC_LAND        77.510              77.982            -0.473         2.544
FSNT             108.910             109.063            -0.153         2.392
FSNTC            129.721             130.011            -0.290         1.694
ICEAREA           14.090              13.830             0.260         0.041
LHFLX             67.674              67.454             0.220         5.144
LWCF              22.735              22.958            -0.223         2.210
PRECT              2.110               2.119            -0.008         0.339
PRECT_LAND         1.101               1.081             0.020         0.212
PRECT_OCEAN        3.446               3.480            -0.034         0.458
PREH2O            11.687              11.827            -0.140         0.626
PREH2O_OCEAN      18.639              18.769            -0.130         0.871
PSI_200           -8.142              -8.313             0.171         0.303
PS               977.200             977.140             0.059         1.242
PSL             1017.477            1017.393             0.084         1.260
QFLX               2.266               2.262             0.004         0.156
SHFLX             17.370              17.174             0.196         3.400
SNOWHLND           5.874               5.803             0.071         1.581
SST               16.420              16.513            -0.093         0.419
STRESS_MAG         0.076               0.077            -0.001         0.017
SWCF             -20.811             -20.948             0.138         2.042
T_850            271.026             271.263            -0.237         0.759
TGCLDLWP         120.321             121.595            -1.274        14.092
TGCLDIWP          23.848              23.688             0.160         2.180
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           273.921             274.287            -0.365         1.001
TS               274.400             274.771            -0.371         1.010
TS_LAND          265.342             265.810            -0.468         1.100
U_200             25.356              26.011            -0.655         2.482
VT_850             0.423               0.423            -0.000         1.806
Z3_500            55.159              55.208            -0.048         0.188
