DIAG SET 1: MAM MEANS NORTHERN EXTRATROPICS (90N-20N)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            17.806              17.101             0.705         2.882
RESSURF           17.942              17.791             0.151         4.659
SOLIN            367.642             367.642             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.956               1.455            -0.499         0.566
CLDHGH            25.088              24.397             0.691         2.116
CLDLOW            27.397              27.811            -0.414         1.835
CLDMED            15.377              15.140             0.236         1.429
CLDTOT            43.996              43.851             0.144         2.038
EKE_850           33.417              33.782            -0.365         2.184
EP             8.029e-03           3.460e-02        -2.657e-02         0.261
FLNS              70.334              70.249             0.085         2.140
FLNSC             93.356              93.370            -0.013         1.358
FLNT             227.743             228.632            -0.890         2.444
FLNTC            251.465             251.865            -0.400         1.293
FSDS             209.776             209.036             0.740         4.348
FSDSC            268.732             268.107             0.625         1.250
FSNS             165.319             165.087             0.232         4.051
FSNSC            215.200             215.179             0.020         3.620
FSNSC_ICE         49.148              48.531             0.617         3.835
FSNSC_LAND       193.893             193.734             0.159         3.535
FSNT             245.549             245.733            -0.185         3.509
FSNTC            290.329             290.671            -0.342         3.384
ICEAREA           14.524              14.161             0.363         0.047
LHFLX             52.718              52.785            -0.067         3.972
LWCF              23.722              23.232             0.490         1.761
PRECT              1.780               1.753             0.027         0.239
PRECT_LAND         1.527               1.497             0.030         0.204
PRECT_OCEAN        2.239               2.209             0.030         0.288
PREH2O            14.974              15.038            -0.064         0.502
PREH2O_OCEAN      20.711              20.783            -0.072         0.629
PSI_200           -8.068              -7.983            -0.085         0.173
PS               976.955             977.399            -0.443         0.809
PSL             1015.871            1016.335            -0.464         0.835
QFLX               1.788               1.788             0.000         0.120
SHFLX             24.326              24.263             0.064         2.153
SNOWHLND           6.568               6.495             0.073         1.660
SST               16.366              16.430            -0.065         0.388
STRESS_MAG         0.045               0.046            -0.001         0.007
SWCF             -44.780             -44.938             0.158         3.338
T_850            277.035             277.146            -0.111         0.496
TGCLDLWP         116.123             116.827            -0.704        10.601
TGCLDIWP          20.760              20.374             0.386         1.640
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.696             281.796            -0.100         0.534
TS               282.228             282.319            -0.091         0.562
TS_LAND          280.616             280.628            -0.012         0.578
U_200             21.107              21.150            -0.043         1.522
VT_850             0.447               0.449            -0.002         0.849
Z3_500            56.086              56.154            -0.068         0.132
