DIAG SET 1: ANN MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM           -23.857             -21.243            -2.614         7.290
RESSURF           -5.309              -3.905            -1.404         3.639
SOLIN            305.490             305.490             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            0.764               0.567             0.196         0.328
CLDHGH            25.534              25.687            -0.153         1.493
CLDLOW            39.332              39.615            -0.283         1.204
CLDMED            15.869              15.716             0.153         1.222
CLDTOT            53.470              53.745            -0.274         1.366
EKE_850           44.721              44.149             0.572         1.973
EP             1.057e-01           1.090e-01        -3.285e-03         0.240
FLNS              60.596              59.792             0.804         1.561
FLNSC             89.580              88.654             0.926         1.418
FLNT             225.269             225.933            -0.664         1.761
FLNTC            249.746             250.648            -0.903         1.090
FSDS             168.517             166.682             1.836         3.873
FSDSC            226.878             225.981             0.897         1.359
FSNS             138.571             141.724            -3.152         7.668
FSNSC            188.826             194.126            -5.300        11.318
FSNSC_ICE         61.726              60.593             1.132         3.903
FSNSC_LAND       129.837             129.704             0.133         0.570
FSNT             201.412             204.690            -3.278         7.320
FSNTC            247.172             252.539            -5.367        10.870
ICEAREA           11.781              11.441             0.340         0.024
LHFLX             70.778              73.249            -2.471         5.785
LWCF              24.477              24.715            -0.238         1.473
PRECT              2.288               2.369            -0.081         0.283
PRECT_LAND         1.639               1.658            -0.019         0.151
PRECT_OCEAN        2.475               2.572            -0.096         0.319
PREH2O            16.996              17.877            -0.881         1.238
PREH2O_OCEAN      19.349              20.373            -1.024         1.395
PSI_200            7.359               7.372            -0.013         0.112
PS               983.470             983.384             0.086         0.731
PSL             1007.197            1007.075             0.122         0.768
QFLX               2.394               2.478            -0.085         0.192
SHFLX             12.507              12.588            -0.081         1.353
SNOWHLND          46.895              46.914            -0.018         0.743
SST               14.714              15.265            -0.551         0.682
STRESS_MAG         0.093               0.093            -0.000         0.009
SWCF             -45.760             -47.848             2.088         4.438
T_850            276.092             276.582            -0.490         0.568
TGCLDLWP         141.555             144.050            -2.494         8.995
TGCLDIWP          20.568              20.396             0.171         1.235
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           281.135             281.617            -0.482         0.587
TS               281.679             282.183            -0.504         0.640
TS_LAND          266.408             266.840            -0.432         0.576
U_200             25.681              25.608             0.073         1.224
VT_850            -0.210              -0.212             0.002         0.715
Z3_500            55.170              55.275            -0.105         0.141
