DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            72.076              76.107            -4.031        10.898
RESSURF           80.812              83.107            -2.296         8.267
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.864              -3.088             0.224         0.507
CLDHGH            21.349              21.808            -0.459         2.151
CLDLOW            42.305              42.481            -0.176         2.395
CLDMED            13.801              13.800             0.001         1.832
CLDTOT            52.992              53.409            -0.417         2.500
EKE_850           29.842              30.426            -0.583         2.535
EP            -2.135e-02          -1.562e-02        -5.731e-03         0.431
FLNS              56.790              55.598             1.193         2.725
FLNSC             86.275              85.050             1.225         2.133
FLNT             236.062             236.580            -0.518         2.377
FLNTC            258.851             259.861            -1.010         1.306
FSDS             263.113             259.844             3.270         7.665
FSDSC            356.756             355.358             1.398         2.178
FSNS             211.636             215.836            -4.200        11.709
FSNSC            292.721             300.599            -7.878        16.598
FSNSC_ICE        124.072             120.716             3.356         9.530
FSNSC_LAND       190.269             190.413            -0.145         1.681
FSNT             308.138             312.687            -4.549        11.135
FSNTC            380.414             388.477            -8.064        16.014
ICEAREA            7.931               7.517             0.414         0.041
LHFLX             63.161              65.891            -2.731         7.080
LWCF              22.789              23.280            -0.491         1.999
PRECT              2.182               2.271            -0.089         0.408
PRECT_LAND         2.711               2.682             0.029         0.326
PRECT_OCEAN        2.097               2.220            -0.123         0.438
PREH2O            21.003              22.138            -1.135         1.771
PREH2O_OCEAN      22.750              24.011            -1.261         1.993
PSI_200            6.676               6.790            -0.114         0.208
PS               983.641             983.750            -0.108         0.970
PSL             1006.939            1007.055            -0.117         0.989
QFLX               2.161               2.256            -0.095         0.218
SHFLX             10.874              11.240            -0.366         1.636
SNOWHLND          46.853              46.880            -0.026         0.821
SST               16.041              16.699            -0.658         0.839
STRESS_MAG         0.085               0.080             0.005         0.009
SWCF             -72.275             -75.790             3.515         7.693
T_850            279.253             279.839            -0.585         0.754
TGCLDLWP         145.165             147.363            -2.198        14.242
TGCLDIWP          16.907              16.804             0.103         1.607
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.801             285.340            -0.540         0.700
TS               285.288             285.868            -0.580         0.766
TS_LAND          275.974             276.445            -0.470         0.598
U_200             19.924              20.061            -0.137         1.663
VT_850            -0.080              -0.082             0.002         1.311
Z3_500            55.883              56.016            -0.133         0.168
