DIAG SET 1: JJA MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM          -111.267            -110.430            -0.837         4.276
RESSURF          -83.340             -83.594             0.254         7.592
SOLIN            154.664             154.664             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            4.420               4.296             0.124         0.388
CLDHGH            31.229              31.069             0.160         1.918
CLDLOW            37.584              37.961            -0.377         1.672
CLDMED            17.786              17.526             0.260         1.651
CLDTOT            56.056              56.079            -0.023         1.836
EKE_850           55.164              54.774             0.391         3.585
EP             1.836e-01           1.956e-01        -1.195e-02         0.307
FLNS              63.403              62.667             0.736         2.008
FLNSC             92.657              91.878             0.779         1.397
FLNT             215.113             216.001            -0.888         2.228
FLNTC            241.950             242.986            -1.036         1.381
FSDS              81.702              80.773             0.929         2.696
FSDSC            108.983             108.491             0.493         0.789
FSNS              71.070              72.705            -1.635         4.577
FSNSC             94.481              97.140            -2.659         6.116
FSNSC_ICE          2.527               2.517             0.010         0.196
FSNSC_LAND        77.307              77.184             0.123         0.507
FSNT             103.846             105.570            -1.725         4.361
FSNTC            126.479             129.219            -2.741         5.923
ICEAREA           15.134              14.897             0.236         0.033
LHFLX             77.336              79.986            -2.649         7.860
LWCF              26.837              26.985            -0.148         1.827
PRECT              2.417               2.494            -0.077         0.335
PRECT_LAND         0.841               0.891            -0.050         0.218
PRECT_OCEAN        2.855               2.937            -0.082         0.372
PREH2O            13.430              14.122            -0.692         0.944
PREH2O_OCEAN      15.918              16.692            -0.774         1.018
PSI_200            7.343               7.404            -0.061         0.168
PS               983.589             983.415             0.174         1.159
PSL             1007.603            1007.378             0.225         1.209
QFLX               2.601               2.690            -0.089         0.256
SHFLX             13.671              13.647             0.024         2.360
SNOWHLND          46.923              46.936            -0.013         0.736
SST               13.197              13.686            -0.489         0.591
STRESS_MAG         0.105               0.106            -0.001         0.015
SWCF             -22.633             -23.649             1.016         2.713
T_850            273.179             273.691            -0.512         0.617
TGCLDLWP         140.229             143.477            -3.248        11.927
TGCLDIWP          23.278              23.140             0.139         1.824
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           277.992             278.486            -0.494         0.658
TS               278.581             279.083            -0.502         0.687
TS_LAND          258.992             259.585            -0.593         0.862
U_200             30.567              30.289             0.277         1.610
VT_850            -0.358              -0.375             0.017         1.287
Z3_500            54.552              54.655            -0.104         0.172
