DIAG SET 1: SON MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            16.457              20.363            -3.906         9.126
RESSURF           28.145              31.082            -2.936         6.501
SOLIN            367.302             367.302             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200            1.819               1.887            -0.069         0.380
CLDHGH            25.311              25.437            -0.127         2.338
CLDLOW            38.887              38.958            -0.071         1.711
CLDMED            15.536              15.341             0.195         1.696
CLDTOT            52.971              53.048            -0.077         2.189
EKE_850           43.466              41.967             1.499         3.287
EP             1.200e-01           1.247e-01        -4.673e-03         0.306
FLNS              62.658              62.336             0.322         2.066
FLNSC             91.884              91.206             0.678         1.469
FLNT             223.457             224.088            -0.630         2.536
FLNTC            247.034             247.770            -0.736         1.160
FSDS             208.451             207.040             1.412         5.645
FSDSC            277.627             276.704             0.923         1.515
FSNS             166.499             171.144            -4.645         9.991
FSNSC            225.056             231.730            -6.674        14.096
FSNSC_ICE         62.427              63.050            -0.624         4.576
FSNSC_LAND       149.543             149.389             0.154         0.673
FSNT             239.915             244.451            -4.536         9.317
FSNTC            292.117             298.662            -6.546        13.354
ICEAREA           15.577              15.161             0.416         0.037
LHFLX             62.527              64.636            -2.109         5.651
LWCF              23.577              23.683            -0.106         2.106
PRECT              1.983               2.050            -0.067         0.317
PRECT_LAND         1.473               1.507            -0.035         0.267
PRECT_OCEAN        2.127               2.190            -0.063         0.343
PREH2O            14.949              15.647            -0.698         1.065
PREH2O_OCEAN      17.197              18.009            -0.812         1.197
PSI_200            7.413               7.540            -0.127         0.209
PS               983.206             983.104             0.101         1.302
PSL             1006.921            1006.776             0.145         1.374
QFLX               2.103               2.174            -0.071         0.182
SHFLX             13.169              13.090             0.079         1.999
SNOWHLND          46.952              46.965            -0.013         0.693
SST               13.075              13.592            -0.518         0.637
STRESS_MAG         0.102               0.103            -0.001         0.017
SWCF             -52.202             -54.211             2.009         6.138
T_850            274.880             275.270            -0.390         0.519
TGCLDLWP         135.075             137.115            -2.040        12.553
TGCLDIWP          21.098              20.967             0.131         1.935
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           279.735             280.153            -0.418         0.557
TS               280.231             280.664            -0.434         0.608
TS_LAND          266.687             266.840            -0.153         0.530
U_200             27.365              27.388            -0.023         1.988
VT_850            -0.239              -0.245             0.006         0.821
Z3_500            54.883              54.969            -0.087         0.182
