DIAG SET 1: DJF MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            52.740              52.125             0.615         3.576
RESSURF           14.682              14.877            -0.195         6.448
SOLIN            413.168             413.168             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.552              -0.576             0.024         0.647
CLDHGH            37.814              37.588             0.226         2.817
CLDLOW            27.768              27.618             0.151         2.018
CLDMED            17.663              17.442             0.220         2.137
CLDTOT            53.089              52.844             0.245         2.431
EKE_850           11.744              11.252             0.492         1.396
EP            -1.109e-01          -1.096e-01        -1.298e-03         0.767
FLNS              54.953              54.273             0.680         1.716
FLNSC             70.950              69.819             1.132         1.729
FLNT             243.289             244.396            -1.107         4.016
FLNTC            283.413             284.235            -0.822         1.412
FSDS             218.914             218.997            -0.082         5.274
FSDSC            296.158             295.564             0.594         0.917
FSNS             203.038             203.105            -0.067         4.938
FSNSC            275.702             275.149             0.553         0.846
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       248.762             248.118             0.644         1.085
FSNT             296.029             296.521            -0.491         4.657
FSNTC            365.703             365.699             0.004         0.236
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            117.123             117.632            -0.508         6.783
LWCF              40.124              39.839             0.285         3.085
PRECT              4.172               4.188            -0.016         0.714
PRECT_LAND         4.445               4.440             0.005         0.581
PRECT_OCEAN        4.078               4.102            -0.024         0.751
PREH2O            40.968              42.245            -1.277         1.729
PREH2O_OCEAN      43.031              44.458            -1.427         1.863
PSI_200            1.421               1.485            -0.064         0.162
PS               994.850             995.050            -0.200         0.326
PSL             1009.582            1009.777            -0.195         0.323
QFLX               4.061               4.078            -0.017         0.173
SHFLX             16.279              16.322            -0.043         1.810
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.276              27.712            -0.436         0.505
STRESS_MAG         0.059               0.057             0.002         0.007
SWCF             -69.674             -69.178            -0.496         4.693
T_850            289.918             290.370            -0.452         0.493
TGCLDLWP         141.292             140.393             0.900        15.785
TGCLDIWP          12.467              12.153             0.314         1.588
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.743             299.163            -0.420         0.475
TS               299.679             300.104            -0.424         0.488
TS_LAND          297.123             297.529            -0.407         0.450
U_200              4.005               3.877             0.128         1.362
VT_850            -2.141              -2.249             0.108         0.657
Z3_500            58.463              58.587            -0.124         0.125
