DIAG SET 1: JJA MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            29.314              29.180             0.134         3.089
RESSURF           -3.013              -2.891            -0.122         5.197
SOLIN            389.195             389.195             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.477              -0.510             0.033         0.765
CLDHGH            34.853              34.809             0.044         2.279
CLDLOW            31.809              31.444             0.365         1.981
CLDMED            16.726              16.620             0.106         2.115
CLDTOT            54.085              53.876             0.208         2.173
EKE_850           10.461              10.506            -0.045         1.071
EP             8.282e-02           8.785e-02        -5.025e-03         0.711
FLNS              50.967              50.355             0.612         1.867
FLNSC             67.665              66.660             1.004         1.691
FLNT             246.193             246.758            -0.564         3.294
FLNTC            284.086             284.588            -0.502         1.086
FSDS             198.772             198.772             0.001         4.863
FSDSC            276.090             275.393             0.698         1.003
FSNS             184.279             184.210             0.069         4.429
FSNSC            256.785             256.108             0.677         0.978
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       231.709             230.708             1.000         1.476
FSNT             275.507             275.938            -0.430         4.243
FSNTC            344.442             344.372             0.070         0.343
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            119.230             119.824            -0.594         6.019
LWCF              37.893              37.831             0.062         2.623
PRECT              4.025               4.040            -0.015         0.678
PRECT_LAND         3.440               3.317             0.124         0.573
PRECT_OCEAN        4.201               4.262            -0.061         0.707
PREH2O            43.204              44.258            -1.054         1.512
PREH2O_OCEAN      44.803              45.995            -1.192         1.630
PSI_200           -3.036              -2.942            -0.094         0.166
PS               997.336             997.386            -0.050         0.235
PSL             1012.084            1012.131            -0.047         0.237
QFLX               4.108               4.128            -0.020         0.158
SHFLX             17.095              16.922             0.173         1.812
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.165              27.533            -0.368         0.444
STRESS_MAG         0.072               0.070             0.002         0.006
SWCF             -68.935             -68.435            -0.500         4.400
T_850            290.288             290.645            -0.357         0.412
TGCLDLWP         147.467             145.870             1.598        14.763
TGCLDIWP          11.705              11.596             0.109         1.401
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           298.972             299.330            -0.358         0.425
TS               299.869             300.229            -0.360         0.440
TS_LAND          298.281             298.630            -0.349         0.445
U_200              0.671               1.408            -0.737         1.210
VT_850             3.018               2.938             0.080         0.641
Z3_500            58.780              58.857            -0.077         0.078
