DIAG SET 1: MAM MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            56.138              55.546             0.591         3.039
RESSURF           22.948              23.718            -0.769         5.892
SOLIN            412.713             412.713             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.565              -0.554            -0.011         0.613
CLDHGH            37.691              37.363             0.327         3.061
CLDLOW            27.751              27.527             0.224         1.858
CLDMED            16.476              16.271             0.206         2.174
CLDTOT            52.862              52.552             0.311         2.554
EKE_850           10.578              10.534             0.043         1.364
EP            -8.972e-02          -1.084e-01         1.869e-02         0.760
FLNS              52.745              52.531             0.214         2.080
FLNSC             68.543              68.001             0.542         1.849
FLNT             244.534             245.632            -1.097         4.263
FLNTC            284.505             285.235            -0.730         1.349
FSDS             222.479             222.645            -0.166         5.144
FSDSC            295.804             295.229             0.575         1.109
FSNS             206.400             206.510            -0.110         4.742
FSNSC            275.499             274.937             0.562         1.007
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       247.798             247.050             0.748         1.412
FSNT             300.672             301.178            -0.506         4.474
FSNTC            366.454             366.337             0.117         0.357
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            113.389             112.888             0.501         6.588
LWCF              39.971              39.603             0.368         3.367
PRECT              4.019               4.023            -0.004         0.712
PRECT_LAND         4.330               4.280             0.051         0.694
PRECT_OCEAN        3.917               3.938            -0.021         0.719
PREH2O            43.456              44.218            -0.762         1.490
PREH2O_OCEAN      45.188              46.101            -0.912         1.548
PSI_200            0.038               0.126            -0.089         0.152
PS               995.603             995.519             0.084         0.282
PSL             1010.295            1010.204             0.092         0.287
QFLX               3.929               3.914             0.015         0.168
SHFLX             17.318              17.373            -0.055         2.606
SNOWHLND           0.000               0.000             0.000         0.001
SST               27.842              28.168            -0.326         0.428
STRESS_MAG         0.053               0.050             0.003         0.008
SWCF             -65.782             -65.159            -0.623         4.613
T_850            290.942             291.273            -0.331         0.394
TGCLDLWP         126.036             125.008             1.027        14.075
TGCLDIWP          11.874              11.679             0.195         1.488
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.587             299.888            -0.301         0.390
TS               300.634             300.945            -0.311         0.419
TS_LAND          299.382             299.661            -0.279         0.406
U_200              6.004               5.494             0.511         1.239
VT_850             0.336               0.152             0.185         0.681
Z3_500            58.660              58.728            -0.068         0.070
