DIAG SET 1: SON MEANS TROPICS (20N-20S)
 
TEST CASE: corey33 (yrs 2020-2029)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.002 (yrs 2020-2029)
 
Variable          corey33        b.e11.TSREFC2.f09.g16.ccmi23.002        corey33        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.002
RESTOM            55.476              55.132             0.345         3.396
RESSURF           26.362              26.328             0.034         5.812
SOLIN            417.955             417.955             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -0.440              -0.462             0.022         0.474
CLDHGH            35.255              34.983             0.273         2.552
CLDLOW            30.033              29.535             0.498         1.963
CLDMED            16.977              16.907             0.070         2.008
CLDTOT            53.341              52.781             0.560         2.329
EKE_850           11.022              11.196            -0.174         1.478
EP            -2.121e-01          -2.211e-01         9.016e-03         0.723
FLNS              52.062              51.619             0.443         1.784
FLNSC             68.841              67.878             0.963         1.564
FLNT             246.002             247.116            -1.114         3.687
FLNTC            283.954             284.740            -0.786         1.361
FSDS             222.042             222.648            -0.606         5.291
FSDSC            301.064             300.806             0.258         0.669
FSNS             206.438             207.021            -0.583         4.952
FSNSC            280.899             280.651             0.248         0.598
FSNSC_ICE       -999.000            -999.000          -999.000      -999.000
FSNSC_LAND       254.381             254.215             0.166         0.700
FSNT             301.479             302.248            -0.769         4.560
FSNTC            371.946             372.037            -0.091         0.266
ICEAREA            0.000               0.000             0.000      -999.000
LHFLX            110.028             111.240            -1.211         6.316
LWCF              37.951              37.623             0.328         2.841
PRECT              4.041               4.093            -0.052         0.677
PRECT_LAND         4.635               4.691            -0.055         0.577
PRECT_OCEAN        3.848               3.903            -0.055         0.702
PREH2O            42.606              43.618            -1.012         1.361
PREH2O_OCEAN      43.791              44.839            -1.048         1.394
PSI_200           -1.227              -1.165            -0.062         0.145
PS               995.805             995.895            -0.090         0.271
PSL             1010.494            1010.581            -0.087         0.273
QFLX               3.829               3.872            -0.043         0.162
SHFLX             17.986              17.834             0.152         2.028
SNOWHLND           0.000               0.000             0.000         0.000
SST               27.120              27.514            -0.394         0.469
STRESS_MAG         0.055               0.052             0.002         0.006
SWCF             -70.467             -69.789            -0.679         4.614
T_850            290.492             290.830            -0.338         0.411
TGCLDLWP         137.801             137.248             0.553        13.849
TGCLDIWP          11.731              11.521             0.210         1.382
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           299.092             299.447            -0.355         0.423
TS               300.085             300.452            -0.367         0.452
TS_LAND          299.356             299.647            -0.292         0.413
U_200              1.747               2.390            -0.643         1.225
VT_850             0.270               0.216             0.055         0.620
Z3_500            58.619              58.702            -0.083         0.084
